"日付","市区町村","全人口","全人口接種1回目","全人口接種2回目","全人口接種率1回目","全人口接種率2回目","高齢者人口","高齢者接種1回目","高齢者接種2回目","高齢者接種率1回目","高齢者接種率2回目"
2021/07/13,（全国）,127138033,33087100,18902260,26.02,14.87,35486339,27812371,17895237,78.37,50.43
2021/07/13,（沖縄県）,1481547,304475,161213,20.55,10.88,323501,242471,145442,74.95,44.96
2021/07/13,那覇市,322011,54164,28756,16.82,8.93,74092,49538,27356,66.86,36.92
2021/07/13,宜野湾市,99678,15598,7530,15.65,7.55,19153,14441,7168,75.40,37.42
2021/07/13,石垣市,49824,16006,9479,32.13,19.02,10655,9142,8952,85.80,84.02
2021/07/13,浦添市,115340,22537,6788,19.54,5.89,22580,16826,6542,74.52,28.97
2021/07/13,名護市,63389,14566,8308,22.98,13.11,13988,11471,7978,82.01,57.03
2021/07/13,糸満市,62191,11780,4215,18.94,6.78,12989,9658,3826,74.36,29.46
2021/07/13,沖縄市,142634,24110,11138,16.90,7.81,28810,21438,10752,74.41,37.32
2021/07/13,豊見城市,64953,11256,3329,17.33,5.13,12081,9148,3172,75.72,26.26
2021/07/13,うるま市,124457,19337,9908,15.54,7.96,27461,17760,9513,64.67,34.64
2021/07/13,宮古島市,55434,18479,14490,33.34,26.14,14280,12132,11137,84.96,77.99
2021/07/13,南城市,44245,10891,7514,24.62,16.98,11154,9160,7235,82.12,64.86
2021/07/13,国頭村,4673,1565,709,33.49,15.17,1622,1371,678,84.53,41.80
2021/07/13,大宜味村,3067,1400,732,45.65,23.87,1162,1005,698,86.49,60.07
2021/07/13,東村,1764,632,488,35.83,27.66,613,567,471,92.50,76.84
2021/07/13,今帰仁村,9360,2728,1353,29.15,14.46,3020,2283,1211,75.60,40.10
2021/07/13,本部町,13191,3550,1472,26.91,11.16,4056,3068,1289,75.64,31.78
2021/07/13,恩納村,11064,3599,2023,32.53,18.28,2638,2317,1862,87.83,70.58
2021/07/13,宜野座村,6106,2109,643,34.54,10.53,1461,1147,585,78.51,40.04
2021/07/13,金武町,11455,3057,1304,26.69,11.38,3018,2389,1080,79.16,35.79
2021/07/13,伊江村,4524,1731,1566,38.26,34.62,1480,1298,1248,87.70,84.32
2021/07/13,読谷村,41481,10161,4841,24.50,11.67,8879,6700,4410,75.46,49.67
2021/07/13,嘉手納町,13524,2787,1693,20.61,12.52,3226,2512,1633,77.87,50.62
2021/07/13,北谷町,28912,5102,2958,17.65,10.23,5784,4546,2824,78.60,48.82
2021/07/13,北中城村,17510,3773,1532,21.55,8.75,3849,3030,1487,78.72,38.63
2021/07/13,中城村,21762,5576,3426,25.62,15.74,4107,3615,3107,88.02,75.65
2021/07/13,西原町,35451,8700,5607,24.54,15.82,7425,6311,4749,85.00,63.96
2021/07/13,与那原町,19982,4504,2961,22.54,14.82,3946,3253,2632,82.44,66.70
2021/07/13,南風原町,39909,6574,3454,16.47,8.65,7262,5498,3290,75.71,45.30
2021/07/13,渡嘉敷村,711,464,425,65.26,59.77,157,154,146,98.09,92.99
